Content,Score
妈呀，我的理想型,5
脑公[害羞R][飞吻R],5
@拾柒,3
我承认和你分手我后悔了,4
@诚信卖潮玩宝石,3
那可不,3
@怪力少女 han,3
@一口一个钟汉良 [笑哭R]他好帅,5
@赤松子,3
和你看海就更浪漫啦[doge],4
@荀凡三 @joy_saekki @年年,3
[害羞R][害羞R][害羞R]这我直接叫哥哥,5
@郁葭 这个我真心喜欢[喝奶茶R][喝奶茶R],4
@北鱼.,3
@fofiio🌲 我的新老公[皱眉R],5
烙铁们 有没有姜姜的神图想定制卡套[哭惹R][害羞R],4
@壹 [色色R][色色R][色色R],4
海和你看才浪漫,4
理想型了家人们[哭惹R],5
@琥珀,3
@茸,3
[害羞R]我嘞个豆，太帅了,5
帅死了[飞吻R][飞吻R][偷笑R],5
永远我的挚爱_峰峰,5
峰子好帅[玫瑰R],5
都这么久了峰峰肯定不会回我了[暗中观察R],4
@爱儿比潘萌,3
哥这是你不,3
@雷阵雨,3
尊嘟假嘟,3
@忆森,3
@kaka 氛围感帅哥,4
小姜老师[偷笑R][偷笑R][偷笑R],4
@安_ [飞吻R],4
帅的过分[扯脸H],5
@stay,3
@北华鲟,3
小姜老师[飞吻R][飞吻R][飞吻R],4
想去看,3
老公贴贴,5
@Palpitation.,3
@睡醒了嘛,3
有谁有他的正脸照呀？我的小说男主想要这个样子的[哭惹R]痞帅痞帅[哭惹R][哭惹R],5
每次刷到都得好好评论一句，我就怕大数据不知道推什么给我[皱眉R][皱眉R],4
姜先生 出去玩要注意安全啊,5
@尹妃真不是变态 网图本人,3
可是被污染的下次看海不知道是什么样的心情了,2
@wawa,3
@过去 这也是我为数关注不多的男网红之一,4
要看不了咯,2
@今天吃早饭了嘛。 这是不是凯丽喜欢的那个？好帅[doge],5
可惜再也看不见清澈见底的海水了🌊[哭惹R],2
@糖炒栗子 太帅了,5
@乖乖的大笨熊,3
而且我还要一定要说,3
哥哥 我是否把你搞得怀疑人生,4
你看我那条新的小红书了吗,3
@FLY 宝贝看帅哥放松[大笑R],5
但是我去过威海其他的地方,3
我都没去过威海的海边,3
@安童a,3
说实话比王一博和蔡徐坤好看[大笑R],5
@艾潇 居然小红书也有我男神😳,5
@sily. [飞吻R]啊啊啊,5
@猫尾,3
@咕噜咕噜球＾ 原作者[红色心形R],3
看海本身是一件很浪漫的事，看完“消失的她”就另一回事了[偷笑R][偷笑R],2
爱你,5
[害羞R],4
@被淋湿的熊z 我喜欢这款,5
@kk＇ [红色心形R],4
@钰鱼鱼鱼鱼,3
介么有感觉？,3
[色色R][色色R][色色R][色色R][色色R],4
@iktxvs 浪漫吧[萌萌哒R],4
@巧克力脑袋 我就以前给你说的这个 [doge],4
[飞吻R][偷笑R],4
@向阳,3
@此地无银三百两,3
喜欢和帅哥去走遍天涯！,5
老公求你了和我好[哭惹R],5
和你看海更浪漫,5
@涵.,3
对不起[合十R][合十R][合十R],3
@士力嘉,3
@💤,3
@涵.,3
帅死我了[色色R][色色R],5
请选择你的英雄,2
嗯，要我说呢，这个吧，是这么回事儿嗷，就是吧，你知道的，行，不说了,1
评论区有必要攻击长相吗,1
@AAA批发枇杷李哥（超甜）,3
@💜 @芮. @小婕,3
@毛桃Doris @曾江奶奶,3
@z-,3
@五,3
@社交小孔 跟你前男友一样 哈哈哈哈哈哈哈,3
这……自己应该也知道自己的问题吧   发出来肯定会有不好的声音啊  为什么还要发出来呢,1
@Qhi @昏姌 @yeayear929 @Xxx @YzxzY @ww @dom,3
两只眼睛各看各的  没有一个正眼看人的[偷笑R],2
唐,1
你都不用正眼看我[鄙视R][鄙视R],2
其实有可能是相机问题 要是用后摄拍就这样,3
赵本山,2
@汤姆,3
@Echo.,3
有点小帅[笑哭R],4
大帅哥,4
@123,3
是人的话就不帅,1
说真的 做个矫正就很帅了,4
[微笑R],2
杨树林,2
凭啥告诉你，你都不正眼看我,2
不帅[汗颜R],1
帅,4
@AA专业饼干打孔张师傅,3
我也是斜视 唉,2
看的人手好痒,2
@Answer～X,3
大聪明吗[暗中观察R],2
有点扭曲,1
鹰眼,2
咱就说，挺好一张脸，咋不做个手术矫正一下呢,3
挺智慧的看着,3
右眼站岗，左眼放哨，太酷了[飞吻R],2
斜颈兄弟,2
义眼？,2
帅的不能看[汗颜R],1
外在内在哪一点和帅沾边，，，哦…对了，嘴角的痦子算一点！,2
多大仇[偷笑R],1
比刘德华还帅,2
好可爱[微笑R],4
什么人身攻击啊，人家这发的就是要争议的好吧[捂脸R],3
很碎,2
你这么看人，不太礼貌,1
斗鸡眼太帅了,1
挺帅的,4
你瞅啥,1
自信点,3
@虾球！,3
呵呵,2
一个眼站岗，一个眼放哨,1
不觉得吧，除去眼睛不说，长相就是普通人，不丑也不帅[吧唧R],3
我求求你用正眼看我！,2
兄弟照相不能对着下巴照,2
@木容榕_ovo,3
你的眼睛好像一个盯岗一个放哨[赞R],2
两个眼睛好像都有自己的想法,2
你应该问这会不会吓到人[汗颜R],1
是帅的哥[微笑R][微笑R][微笑R],4
@duck不必鸭,3
要自信起来哟，自信的男人最帅！[萌萌哒R],3
一个眼睛站岗，一个眼睛放哨，能看到人吗,2
哈哈哈,2
兩眼不協調，你不自知嗎？,2
这俩眼珠子，谁也不服谁[笑哭R][笑哭R][笑哭R],2
摔歪了,2
没觉得丑，第三张还挺顺眼的,3
帅的，兄弟。以后别让我再看见你就行,1
当狙击手最棒了 一只眼作战 一只眼放哨[暗中观察R],2
@jellyyuki,3
[大笑R],3
哥们别管他们攻击你的，也别听他们夸你的，听哥们的做手术矫正了，不然日常生活中大多数善良的怜悯你，坏点儿的歧视你，我想这两点你都不想要,3
一个眼站岗，一个眼放哨[笑哭R][笑哭R],2
请问一下第三张图片是p的吗？还是您的眼睛是可以随意跑位的呢？我有一个朋友是平时眼睛正常发呆发着发着然后眼睛就变成斗鸡眼了 您的情况也跟她一样吗？（没有恶意 不要网暴我 我只是好奇）,3
不是，你斜视还能正过来！厉害啊,3
你的眼睛怎么控制的。。。,2
左眼站岗右眼放哨,2
你对帥有誤解,1
p3右眼听话了[doge],3
@蛋黄酱,3
你眼睛咋了,2
帅,4
@阿鹿 嫁给他,2
说吧，选哪个？,2
？[石化R],2
@无敌旺仔,3
左眼到右眼打车都要半个小时。,2
你是怎么做到一个站岗一个放哨的,2
@空白 假的眼睛吗？,2
这个做手术可以矫正吧,3
@木冬,3
右眼放哨 左眼站岗 一个字帅,2
@惠惠惠惠～ 评价一下,3
哥们儿，帅不帅先不说，对不对称你总得有点数吧,2
我女儿的左眼就是这样，但是不是一直是，间歇性的，看到光就是斜的，目前戴眼镜呢，可以手术的，医生说再等等，你这样去眼科医院肯定可以动手术矫正的，现在医术这么好,3
呵呵,2
你比我变形还严重，[偷笑R],2
帅[飞吻R],4
@Q.,3
@源气满满 @Fan.,3
@小红薯6496CB5D,3
知道的是你眼神不好，不知道的以为你瞧不起人[微笑R],2
广角的还是 高级 绝,4
帅的！,4
想起了爱情公寓那个吐痰的那个画面,3
斜视做个小手术吧，,2
@睡个好觉,3
左眼站岗，右眼放哨[黑薯问号R],2
一般做个小手术就好，我自己也有点斜视，而且还是内斜视！还没做手术，一般看不出来，原本打算攒点钱手术的，但又不知道具体费用怎么算[失望R][失望R][失望R]苦恼！！！,3
帅吧,4
？ 什么？,2
建议纠正眼睛  其实五官还不错[doge],3
帅的我害怕了,2
只能这么说，不帅，因为你自己问了这个问题。但是，很正常很普通，很普通人没区别,1
真的很没礼貌都不正眼看人,1
就是有点高冷，不喜欢正眼看人,2
大哥你有斜视 跟帅不沾边了,1
不帅,1
@^Ziiue💭,3
已经打过他了,2
找你半天了，彦祖[笑哭R],5
祝早日康复,1
@QixYx-,3
长地有点像肖央是怎么回事 我想了半天[笑哭R],2
让网友回答可以没问题，麻烦尊重网友一点吧，能不能正眼看我们？,1
@😈 哈哈哈哈哈哈哈,3
哥们你太帅了，满级颜值长得像王俊凯,5
@🌹,3
@Oct_11 你理想型,4
@blc 一只眼睛放哨 一只眼睛站岗,2
这不是隔壁吴老二吗？,2
@QQ小唐 你喜欢的,4
挺帅的，像萨特,4
大哥你这眼神就减分啊,2
为什么眼睛可以劈叉[微笑R],2
我的表情,3
这照片恐怕不是你本人吧 谁正常人会这样[失望R]用别人照片取乐很好玩吗,1
左眼：看镜头。右眼：我不。,2
眼睛是有点斜视吗，我记得可以做手术矫正的吧ि०॰०ॢी,2
有一股，杀气,2
眼睛都帅歪了[doge],2
帅,4
@滕滕~,3
一个站岗一个放哨,2
我不是天生的，我只是会做这个动作。。。,2
一只眼睛站岗一只眼睛放哨,2
你凭什么物化女性？老娘就不上班就不温柔就不洗衣服做饭就不结婚就不生孩子就不减肥就不取悦男性就不买房买车。老了上街随机抽奖牢有所养，子宫也摘除了[偷笑R]还可以无例假无心脑血管疾病再增加30%寿命你怎么滴。,1
泊流量的话我只说左眼站岗右眼放哨,2
毛线,2
放哨那眼镜帅,3
左眼站岗，右眼放哨,2
这双眼睛是什么,2
@梦子.,3
阿弥陀佛🙏🏻,1
不好意思了,1
@momo 你老公[飞吻R],4
帅呆了,2
智慧的眼神,2
很帅,4
这是怎么了[汗颜R],2
@尊嘟假嘟 阿拉塔,3
@Realynne,3
请允许我叫你一声靓仔,4
@这茄子真圆🤩,3
是蟋蟀的蟀,2
兄弟我不会跟你说什么集美底子真好之类的屁话 我只会跟你说真话 从大众的审美标准来看 肯定是不帅 但是又怎么样呢 长相只是你的一小部分 又不是一切 你完全有权利选择不在乎 把精力放在你想做的事上 退一万步 如果你想变帅 也可以开始健身学习穿搭化妆 这都会为你后天加分,2
@Poikilotherm.,3
@yhow @旅行的小7仔,3
两只眼睛 各有各的帅  各有各的想法  帅,2
@Juliaxx,3
你是怎么做到左右眼个不服气的,2
能不能友善一些，往人家的痛楚上说,2
你开心就好,2
留什么,2
@你保护我 觉得帅吗,3
斜视而已 小手术,2
帅的他妈的我想死，看一眼都觉得要瞎,1
看看男人都多自信,1
o-O,2
自信最帅,2
这就是典型的一眼站岗一眼放哨,2
骗流量是吧？,2
评论区恶意是不是有点太大了。。这是先天性疾病。。,3
斗鸡眼[偷笑R],2
吃着碗里看着锅里,2
普通人吧[笑哭R],2
@一个美女 你老公,4
不留,2
@呂呂,3
和帅没有啥事,1
@面包狂热爱好者 @roy,3
感觉很不礼貌的样子。,1
人健康就好,3
感觉up可以去眼科看一下斜视（没有恶意）因为看照片感觉up的斜视好像不是那种很严重的，因为看照片好像up眼睛聚焦以后眼睛看起来会更好一点，所以应该是可逆转的,3
不好说，先去做斜视手术吧，你这个好明显,3
@每天都好困 她想嫁给你,4
@7k7k,3
@一个达不刘 问你呢,3
@小嘉吃不饱🥣,3
@🦔 你品品,3
在xhs应该会有很多人鼓励你的,3
左眼睛站岗 右眼镜放哨,2
好帅 爱上了,5
你觉得呢？不要不管别人死活,1
@超级酸 @Lii,3
太帅了,4
站岗的站岗，放哨的放哨[害羞R],2
为什么感觉眼睛无法聚焦的样子,2
嘴歪眼斜 的视觉体现[笑哭R][笑哭R][笑哭R],2
大小眼子,2
眼睛不聚焦 [汗颜R],2
左边脸还凑合,3
把胡子刷了会帅很多,3
一只讥笑，一只凉薄,2
@xx. 你老公,4
你听过我的故事?,3
怎么长的左眼不跟右眼玩,2
郭楠收收味,1
普信男真下头,1
自信的男宝最美丽,1
姐姐姐姐杀我啊啊啊啊啊我死了！好漂亮！,5
姐姐也太美了呜呜呜,5
美女贴贴,5
姐妹能不能出一期化妆教程啊,4
长这样别说是男的，我一个女的都看不下去了,1
我靠这么帅的吗,5
给我你的微信，不然…我求求你了,5
帅,5
你好帅啊,5
宝宝奇怪你爱小狗手势舞要不要了解一下！！[萌萌哒R],5
宝宝要飞去哪呢[萌萌哒R],5
峰峰晚上好,4
@魚恋海 @储藏温柔 @Costalgic. [偷笑R]痞帅痞帅的,5
@顾雨辰,3
今天发型有点🆒,4
我玉米乌漆，你玉米几[飞吻R]@姜 峰 勇 🌊,4
@小哭包⁵⁵⁵⁵ 还是很帅[害羞R],5
@变有钱 @小栖很麻烦,3
我我我！能去当你的摄影师吗？[害羞R],5
@贺予的痴情舔狗 我喜欢这个，关注三年了[偷笑R],5
酷峰[色色R],4
峰峰晚上好@姜 峰 勇 🌊 [偷笑R][偷笑R],4
特別帅[害羞R],5
@Double  男神,5
@Emmm [惊恐R][大笑R][大笑R][大笑R][惊恐R][惊恐R],4
帅,5
宝宝好帅 不仅赶上了飞机 还跑进了我的心里[色色R][色色R],5
起落平安宝宝！,5
宝宝的发型帅帅的[大笑R],5
好帅啊！男高即视感[害羞R]好帅[偷笑R]手好好看哦^ω^,5
@细鱼 哈哈哈哈哈哈哈哈哈哈哈哈哈哈,3
宝宝这个发型超帅的！！夸夸[玫瑰R],5
宝贝晚好[自拍R],5
宝宝发型我给满分！,5
宝宝晚上好,5
宝你玉米几啊,4
[皱眉R][皱眉R],3
啊啊啊啊[害羞R][飞吻R],4
晚上好啊,4
捕捉到一个痞帅男孩[色色R][色色R][色色R],5
宝宝这个挎包有点眼熟呢,4
晚上好姜峰勇,4
赶上飞机啦[飞吻R][飞吻R],5
老公,5
峰峰晚上好呀[微笑R],5
@咪猫 @李泰容易饿 @嚯嚯 @你打不过我的 @甜&熊🐻,3
@张布实很诚实😇 太太太太太帅了,5
新发型很帅哦[哇R],5
晚上好宝宝[大笑R],5
@Corner.,3
[哇R]@姜 峰 勇 🌊,3
玉米溜舞[萌萌哒R][萌萌哒R],3
在抖音看过啦,3
又帅了,5
知道你帅了姜姜[哭惹R],5
峰峰好帅好帅好帅好帅好帅啊啊啊,5
祝峰峰泰兰德之行玩得开心！,4
玩得开心哦峰峰[害羞R],5
你小子别太帅[色色R],5
飞机赶上了吗宝宝,5
性感大背头[哇R],4
哦好帅呀呀呀,5
明明那么可爱的一个人，就喜欢表现出凶凶的感觉[偷笑R],5
@aaalym,3
峰峰 今天的发型很帅噢[哇R],5
宝宝[飞吻R][飞吻R],5
长得好像我的crush[色色R],5
啊啊啊宝宝第一次这么快！！,4
回家了嘛回家了嘛[皱眉R],4
怎么有一瞬间好可爱,5
宝宝去哪里呀,5
这次有vlog吗宝宝[哇R],5
宝宝~,5
来晚啦[哭惹R],4
帅宝宝,5
谢谢峰峰治疗好了我的斜视，眼睛都看直了[萌萌哒R],4
好帅,5
退一步讲，我们就不能亲个嘴吗,5
@励志成为悍匪的那个女人,3
都怪我这该死的激动啊啊啊啊[哭惹R],4
峰峰打算去哪里,4
赛赛累累@姜 峰 勇 🌊,3
平安落地[两颗心R][两颗心R],4
耍蟋帅的大帅哥[偷笑R][偷笑R],5
果然长得帅的人对镜拍都这么好看！我的对镜拍总是拍不出自己想要的那种感觉[哭惹R],5
宝宝看起来穿好少 注意保暖哦[流汗R],4
峰峰带我回2018[看R]@姜 峰 勇 🌊,4
真的很喜欢你,5
我的天老公[色色R],5
@FOMZ   [害羞R],3
老公，最近在忙些什么啊[黄金薯R],5
卧槽啊啊啊啊啊啊啊啊啊啊啊啊啊 平时不咋夸人 现在必须夸 唔峰峰 好~帅~[皱眉R],5
第一[doge],4
老公[害羞R][害羞R][害羞R][害羞R][害羞R][害羞R][害羞R],5
都是男的，亲一下怎么了都是男的，亲一下怎么了都是男的，亲一下怎么了都是男的，亲一下怎么了都是男的，亲一下怎么了都是男的，亲一下怎么了都是男的，亲一下怎么了都是男的，亲一下怎么了都是男的，亲一下怎么了都是男的，亲一下怎么了都是男的，亲一下怎么了都是男的，亲一下怎么了都是男的，亲一下怎么了,5
玩的开心！！,5
老公好帅啊[蹲后续H],5
@草莓园的女孩🍓,3
好帅好帅好帅我要当梦女@姜 峰 勇 🌊 [偷笑R][派对R][害羞R][害羞R],5
考古音乐哈哈哈哈哈,3
VOCAL感觉更帅了[偷笑R],4
我怎么才看到[笑哭R],4
为什么是黑心[doge],4
宝宝好帅好帅[色色R][色色R][色色R],5
帅飞,5
峰峰好好看[猪头R]好好生活哦,5
浓发高颜好帅好喜欢[偷笑R],5
帅哥帅哥[害羞R][向右R][自拍R],5
总算没有卡点赶飞机[偷笑R],3
帅死了靠,5
老公[喝奶茶R][喝奶茶R],5
@.. @yi🎀,3
峰宝宝超帅！[色色R][色色R][色色R] 路上小心哦～～[喝奶茶R][喝奶茶R][喝奶茶R],5
好帅好帅好帅,5
好帅好帅,5
今天又帅了[哇R]@姜 峰 勇 🌊,5
峰峰,4
什么音乐啊，好好听,4
咋这么帅呢,5
平平安安宝宝[飞吻R],4
我的乖宝[色色R],5
@🐷,3
不是，宝宝你要摔死谁呀？[偷笑R],5
好看！,5
好帅[派对R][派对R][派对R],5
又帅了哥[偷笑R],5
蛙趣，太tm帅了我靠,5
这组很酷哎😎@姜 峰 勇 🌊,4
宝宝你的头发被炸了吗[派对R][派对R],5
宝宝好帅[飞吻R],5
更加帅了哥,5
哇，好帅好喜欢[偷笑R],5
去哪里玩啊宝宝@姜 峰 勇 🌊,4
真的被帅到了！,5
宝宝,5
太帅啦宝宝！,5
起落平安哦,4
玩得开心,4
又要去哪里啦@姜 峰 勇 🌊,4
晚上好峰峰[飞吻R],4
第一眼就心动的人会喜欢很久@姜 峰 勇 🌊,5
峰峰晚上好啊,5
旅途愉快[派对R],4
晚上好峰峰[偷笑R][偷笑R],5
晚上好峰峰[飞吻R],5
啊啊好喜欢[哭惹R],5
[色色R][色色R]喜欢,5
晚上好呀宝贝！,5
峰峰好帅[大笑R][扯脸H],5
飞来看我宝宝[飞吻R],5
哇哇哇！晚上好呀！今天也很帅啊！,5
来了[偷笑R]@姜 峰 勇 🌊,4
老公,5
峰峰[飞吻R],4
[飞吻R][飞吻R][飞吻R],4
晚上好啊峰峰[飞吻R],5
看到峰峰好开心[哇R][哇R],5
漏额头超帅，请多搞这种造型,5
又是想峰峰想的睡不着的一晚,5
你真的真的巨帅啊！[哇R],5
晚上好宝宝,5
上飞机了吗？,4
[吃瓜R][吃瓜R][吃瓜R][吃瓜R][吃瓜R],3
真的很帅哦,5
这回去哪,4
宝宝晚好啊！,5
[kissR],5
宝宝晚上好,5
晚上好[害羞R] 蹲到了嘻嘻,5
[皱眉R][皱眉R][皱眉R],3
峰峰这是要去哪儿呢[害羞R][害羞R],4
这穿搭[色色R][色色R],4
晚上好@姜 峰 勇 🌊  姜峰勇,5
前排哈哈哈,4
老公晚上好[偷笑R][偷笑R][偷笑R][偷笑R],5
哎我，我居然干前面去了[害羞R],5
做老公的前排[偷笑R][偷笑R][偷笑R][偷笑R][飞吻R][飞吻R][飞吻R][飞吻R][害羞R][害羞R][害羞R][害羞R],5
前排呀宝宝[害羞R],5
好帅[色色R],5
有点爱上。,5
好帅啊！,5
晚上好啊@姜 峰 勇 🌊,4
帅死我,5
前排,4
[萌萌哒R],3
第二![萌萌哒R],4
多久更vlong帅哥[doge],5
第二[偷笑R],4
爱上宝宝简直易如反掌🫴🫳🫴🫳易如反掌啊～🫴🫳🫴🫳🫴🫳🫴🫳易如反掌🫴🫳🫴🫳易如反掌啊～🫴🫳🫴🫳🫴🫳🫴🫳易如反掌🫴🫳🫴🫳易如反掌啊～🫴🫳🫴🫳🫴🫳🫴🫳易如反掌🫴🫳🫴🫳易如反掌啊～🫴🫳🫴🫳🫴🫳🫴🫳,5
第一第一！！！！！,4
她说男模的眼睛像柏林的一场雾，穿过这场雾，此后就是我嘞个豆,5
原声是谁说的？好好听,5
@完結篇 哎呀我陷进去了,4
@¹个甜妹罢了 我就喜欢这个,5
什么发型这是？,3
她说难过的眼睛像柏林的一场雾，穿过这场雾，之后就是我嘞个豆[笑哭R],5
第一眼好像白敬亭[doge][doge],4
很帅很有氛围感，但是感觉你手已经冻红了[笑哭R],5
@h彤 @皮蛋solo粥 ！！,4
@暖一杯茶 我丢,3
背景音乐是什么呀？,3
@Camellia,3
@爱の契约者 [害羞R]给你化这个妆,4
@好困好困 [赞R],3
@我作品凭什么违规,3
她说难过的眼睛像柏林的一场雾,3
学校窗边起雾[偷笑R],4
好喜欢 像情书的氛围[哭惹R][哭惹R][哭惹R]男树在等女树的回应,4
斯哈斯哈,4
晚安[飞吻R],5
还得是他，真的帅，我这辈子要是可以谈一个这样的，那我八辈子的福气全在他身上了[笑哭R],5
@静候橘子皮雪布蕾 @乐乐可 我靠我靠,4
@北极星. @什么M @苦涩冰茶 看帅哥,5
@阿熺,3
他玩Soul，我还给他发过信息[哭惹R],5
@陌颜 氛围感,4
@yi^,3
@打不过就碰瓷 我靠好帅,5
@满山猴腚我最红,3
@Lonely,3
酷,4
@南方小土豆🥔,3
@丞丞丞丞丞 md真帅,5
超有氛围感,5
@颜知吟,3
这么冷还坐外面看书很冷吧,4
@寒冷的夏威夷,3
@念念与昭 [偷笑R][偷笑R][偷笑R],4
@半截诗.,3
@脱脂茄子,3
@puppy [自拍R],3
@。,3
你小子太会拍了！我夸我夸我夸爆！,5
好有氛围感啊[哇R][哇R][哇R],4
@小渔 @年安帅鸽 @谷仓的大哥叫大陆 @梁妍 @冷面小青龙 @Cx330 @Hanako,3
好喜欢峰峰的氛围感，天花板[哭惹R][哭惹R][哭惹R]@姜 峰 勇 🌊,5
我的妈妈我的姥，我的褂子我的袄，我的大脑变大枣，我的老公你别跑[哭惹R],5
@司言 好帅[害羞R][害羞R],5
@枝z.,3
超级有氛围感[派对R],5
@sonnet.,3
这个文案是什么书吗,4
@橘络🌷,3
@185小帅男高,3
@沧江掩容,3
像柏林的一场雾，而你转身走进风雪中，再没回头,4
@司缪simiao哈柿淇,3
@反季节,3
脖子有草莓印，有草莓印！！！,4
这首bgm是什么[皱眉R],3
这个背景音乐是啥,3
晚安💤宝宝,5
[哭惹R],3
走过这场雾就是柏林的冬,3
好帅，峰峰[微笑R],5
@*_小貓早點睡」 [生气R]娶了,4
巨帅好吧[哇R],5
宝宝晚安 早点睡[大笑R],5
好帅啊，峰峰记得注意保暖哦[赞R],5
@秋思,3
@麻辣烫 感觉有种段嘉许的气质、,4
我丢第一眼还以为成毅[石化R],4
@别时月 @平生 [色色R],3
她说难过的眼睛像柏林的一场雾，穿过这场雾，此后就是柏林的冬,3
她说难过的眼睛就像柏林的一场雾，穿过这场雾，此后就是柏林的冬。,3
@Cassethui_,3
？6,1
想让你那双漂亮的眼睛闪闪发光 而不是常含泪水,5
@笨鸟77 [偷笑R],4
@Clara别吃了快去画画 声音好好听,5
宝宝上午好,5
脖子怎么了[哭惹R],4
我喜欢你的眼睛颇有故事感[飞吻R],5
@有钱有闲女强人 @AAA.癫狂火辣老太,3
@小王 好帅[哇R][哇R][哇R],5
@🎶Ash.jing @'スペード_忆清言。 @灯火映修竹（开学周更版 音频喜欢喜欢[哭惹R],5
@一只小时,3
晚安啦[晚安R]，早点睡啊[举手R],5
@星,3
@社交恐惧 郑,3
求音源出处[哭惹R],3
@小哭包⁵⁵⁵⁵ 背景音乐都好好听,4
你在看什么书[暗中观察R],4
她说难过的眼睛像柏林的一场雾，穿过这场雾，是我遇见你时的春和景明。,4
男朋友长这样，吵架了我都要扇自己两巴掌[微笑R],5
我操 极品[色色R],5
真的很喜欢你,5
@云边街 他是男的女的？,2
@07,3
有点像我体育老师啊 好喜欢[飞吻R],5
帅咧[kissR][kissR],5
[色色R][色色R],4
@恋葵奎,3
峰峰天天开心@姜 峰 勇 🌊,5
@X.,3
@南飞 @桔,3
老公老公,5
啊啊啊,4
很内向 见到帅哥只敢叫老公,5
